Feature,Importance
Price,2.063421121096341
Category,1.9974027501795129
Units Sold,0.5165689344803123
Product ID,0.510679442475442
Competitor Pricing,0.17322148908936538
Store ID,0.13060783149367167
Region,0.10029417582955888
Discount,0.0913572277525994
Units Ordered,0.07746744072079484
Effective_Price,0.04109084900240541
Inventory Level,0.0392920803809967
Inventory_Ratio,0.03489369700590168
Promotion,0.010925543475513643
Epidemic,0.009934848092536908
Price_Diff,0.009417963222834414
Weather Condition,0.0024023134482296315
Seasonality,0.0017592912854664578
WeekOfYear,0.0007297299381819888
Day,0.00025678179681811744
Month,0.00015948342103129233
DayOfWeek,0.00011549462541176059
Year,6.98527367459123e-05
Quarter,3.93631240063197e-06
